longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,Localidad
-74.0828038,4.7564067,3.0,1.0,36.0,4.0,2.0,0.0,167600.0,11.0,1350000.0,SUBA
-74.0366794,4.6937204,6.0,3.0,140.0,4.0,2.0,2.0,0.0,4.0,6500000.0,USAQUEN
-74.046927,4.663039,6.0,4.0,173.0,12.0,3.0,3.0,0.0,0.0,12000000.0,CHAPINERO
-74.049791923747,4.711140000593,6.0,2.0,104.0,31.0,3.0,2.0,0.0,3.0,4500000.0,USAQUEN
-74.0488105,4.7153992,5.0,3.0,152.0,23.0,3.0,2.0,0.0,2.0,6600000.0,USAQUEN
-74.0543387,4.6761102,6.0,3.0,96.0,12.0,2.0,2.0,0.0,3.0,8500000.0,CHAPINERO
-74.1340236,4.6608824,4.0,1.0,36.0,0.0,2.0,0.0,190000.0,8.0,1430000.0,FONTIBON
-74.0747102,4.5921609,2.0,1.0,42.0,4.0,1.0,0.0,0.0,0.0,2400000.0,CANDELARIA
-74.059987,4.641087,4.0,1.0,45.0,23.0,1.0,1.0,0.0,1.0,2397000.0,CHAPINERO
-74.0654528,4.641294,3.0,1.0,35.0,0.0,1.0,0.0,155000.0,0.0,1300000.0,CHAPINERO
-74.027608598899,4.7207023779641,4.0,3.0,100.0,12.0,2.0,2.0,0.0,13.0,4965000.0,USAQUEN
-74.1151322,4.7576919,3.0,2.0,50.0,4.0,3.0,0.0,0.0,16.0,1350000.0,SUBA
-74.0625933,4.6920282,5.0,2.0,157.0,23.0,4.0,2.0,0.0,6.0,4700000.0,SUBA
-74.1,4.65,4.0,2.0,84.0,23.0,3.0,1.0,160000.0,0.0,2500000.0,TEUSAQUILLO
-74.0510456,4.6573362,6.0,3.0,344.97,12.0,4.0,3.0,2200000.0,5.0,14000000.0,CHAPINERO
-74.025181531906,4.7518592646207,4.0,2.0,56.0,0.0,2.0,1.0,0.0,0.0,2300000.0,USAQUEN
-74.05411229192,4.688658059895,6.0,2.0,87.0,12.0,2.0,2.0,1035000.0,0.0,3700000.0,USAQUEN
